;;;;;Data Destinasi Nasional;;;;;;
No;CODING ACUAN;DEST;SYS-CODE;"3
Code";PROVINSI;KABUPATEN / KOTA;NAMA KAB/KOTA;KECAMATAN;KELURAHAN;kode pos; ZONA 
112;AMI20200;AMI20201;AMI20201;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Hu'u;Sawe;84271;D
113;AMI20200;AMI20202;AMI20202;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kempo;Doro Kobo;84261;D
114;AMI20200;AMI20202;AMI20202;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kempo;Kempo;84261;D
115;AMI20200;AMI20202;AMI20202;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kempo;Konte;84261;D
116;AMI20200;AMI20202;AMI20202;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kempo;Songgaja;84261;D
117;AMI20200;AMI20202;AMI20202;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kempo;Soro;84261;D
118;AMI20200;AMI20202;AMI20202;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kempo;Soro Barat;84261;D
119;AMI20200;AMI20202;AMI20202;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kempo;Ta'a;84261;D
120;AMI20200;AMI20202;AMI20202;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kempo;Tolo Kalo;84261;D
121;AMI20200;AMI20203;AMI20203;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kilo;Kiwu;84252;D
122;AMI20200;AMI20203;AMI20203;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kilo;Kramat 2 (Keramat);84252;D
123;AMI20200;AMI20203;AMI20203;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kilo;Lasi;84252;D
124;AMI20200;AMI20203;AMI20203;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kilo;Malaju;84252;D
125;AMI20200;AMI20203;AMI20203;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kilo;Mbuju;84252;D
126;AMI20200;AMI20203;AMI20203;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Kilo;Taropo;84252;D
127;AMI20200;AMI20204;AMI20204;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pajo;Jambu;84272;D
128;AMI20200;AMI20204;AMI20204;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pajo;Lepadi;84272;D
129;AMI20200;AMI20204;AMI20204;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pajo;Lune;84272;D
130;AMI20200;AMI20204;AMI20204;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pajo;Ranggo;84272;D
131;AMI20200;AMI20204;AMI20204;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pajo;Tembal Lae;84272;D
132;AMI20200;AMI20204;AMI20204;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pajo;Woko;84272;D
133;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Beringin Jaya;84260;D
134;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Calabai;84260;D
135;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Doro Peti;84260;D
136;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Kadindi;84260;D
137;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Kadindi Barat;84260;D
138;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Karombo;84260;D
139;AMI20200;AMI20205;AMI20205;AMI;Nusa Tenggara Barat (NTB);Kab.;Dompu ;Pekat;Nangakara;84260;D
